"","log2FoldChange","padj"
"FRG2C",1.21782589521331,7.88427917353321e-06
"SNCG",1.20239417724224,7.16530276114016e-07
"TNK1",1.99170063155406,3.13418852164148e-40
"TRAM1L1",1.462201396561,2.56543888379029e-10
"BRSK2",-1.05259102709027,3.33005017097002e-69
"NRIP3",-1.96516089048822,4.99029439013803e-134
"LRRN1",-1.10615289899979,5.26129285181809e-24
"DMRTA1",1.88449581648954,1.859350596203e-53
"BDNF",1.93207063037344,4.66187823097894e-19
"NINJ2.AS1",1.35024582482549,1.327244794043e-18
"ZNF491",-2.68820308507047,1.20022071116868e-19
"NECTIN3",1.6865932175665,1.02868067108424e-32
"RFLNA",-1.10816788405368,1.13343700214089e-11
"C14orf39",-2.11822347258373,2.22431286839576e-21
"GPC5",1.65084387104,3.16055819159473e-22
"APOBEC3B",1.29129845552672,7.18356275411072e-12
"LYNX1",1.36897435554708,5.40699284289955e-05
"NRIP1",-1.08093161549471,2.29758111982359e-116
"SHISA2",1.13121785748591,1.36565886900318e-85
"MAPK15",1.02288947732455,1.16601725448444e-05
"ADGRB1",-1.27848861104347,3.38579380038717e-51
"SLC9A9",1.02956089661513,0.000731219553029053
"CCDC149",1.41337339235635,3.7857920770741e-38
"TNFAIP8L3",1.09122853335004,2.51712948939961e-16
"KCNJ12",-1.35030960682287,6.37990206235828e-34
"SLIT3",1.14388935304914,2.45004646495007e-22
"ACTRT3",1.06976768804002,1.16281587121642e-19
"RNLS",1.14421653802487,1.22596455807639e-06
"FAM43A",1.01588109120887,2.8526678007845e-54
"PRKN",1.22484224714882,2.71637343164003e-06
"SH3BGR",-1.19758355749221,1.69103533639096e-13
"GABRA5",2.4392846004681,2.90215696161728e-14
"MPPED1",-1.26779667554803,8.77419730670339e-08
"DNER",1.12104341581048,8.52370168743712e-05
"OSTN",1.38631228332345,1.1201224281058e-12
"FSIP2",-1.38757011109095,2.54487179745903e-05
"ZNF563",1.529428117406,1.42832578573323e-08
"HACD4",1.59274356445048,9.34227931988355e-31
"ZNF676",1.03522329150962,4.45461349575592e-08
"MYT1",-1.03975437771264,3.24651345530988e-10
"HRH1",1.30832022608612,9.72501582765674e-05
"DCHS2",1.13652570818831,2.79389133132724e-15
"CYRIA",1.03339663035242,8.55408919369607e-08
"SULT1C4",-2.03235182821378,3.7455457809329e-22
"CHSY3",1.56784259153525,2.73059834822435e-32
"NTMT2",-1.15784841310937,0.000448299802320383
"HLA.DOA",1.50229177048695,1.98917275341038e-46
"MUC19",1.3481180793574,3.28532369136384e-05
"UBE2QL1",1.65732595446755,3.01849988031768e-30
"MIR99AHG",-1.10379136487599,4.16411690964391e-20
"HMSD",-2.52124238224529,4.20434790680926e-27
"USP17L2",1.50350850460412,1.40926881529713e-08
"RFPL4A",1.19779848666698,1.45010936234907e-13
"ENSG00000224905",-1.26202042653929,1.19132567135765e-25
"ZNF469",-1.05053017344922,0.00301406045352738
"ERVMER34.1",1.5646209437121,6.26299929992425e-20
"LINC01036",-3.04055865995537,8.01056973445695e-100
"LINC01694",-1.01712734943268,1.19598418359837e-08
"ZNF737",-1.0059620029357,9.03321142300902e-38
"SOCS2.AS1",-1.23321510895996,1.77805035158168e-08
"PCDHA11",-1.27155090508182,1.47379654268614e-06
"HS3ST5",1.72110567550712,2.99472688588639e-11
"PCDHA10",-2.42382611974959,1.98081889319077e-88
"LINC02506",-3.13675007352507,1.04465333475918e-90
"SNORA21B",1.0375837381729,3.71269213792366e-08
"LINC02761",-1.28074924951373,1.98831253587461e-05
"CTSO",1.19286854954397,5.13357906894303e-23
"ARNT2.DT",-1.0812688881024,1.28970279141113e-14
"NSFP1",1.00535419929627,1.79020785234471e-09
"TCF24",1.13109224464172,7.2005336951951e-19
"GABRQ",1.86151231164754,9.38948182628184e-16
"ENSG00000274276",-1.0199493539624,1.06117332847438e-34
"ENSG00000280067",-1.08965086553354,6.82129614925746e-14
"BTG3.AS1",-1.02193559066009,5.67719743440508e-10
"ASMER1",-1.27827126292225,9.13097004378383e-23
