"","V1","V2"
"22206","ENSG00000213260.3","YWHAZP5"
"22207","ENSG00000213261.3","EEF1B2P6"
"22208","ENSG00000213262.3","VDAC2P3"
"22209","ENSG00000213264.3","NIP7P2"
"22210","ENSG00000213265.9","TSGA13"
"22211","ENSG00000213269.2","RPS6P26"
"22212","ENSG00000213270.5","RPL6P25"
"22213","ENSG00000213272.5","RPL7AP9"
"22214","ENSG00000213275.2","IFITM9P"
"22215","ENSG00000213277.3","MARCKSL1P1"
"22216","ENSG00000213279.3","ENSG00000213279"
"22217","ENSG00000213280.2","ENSG00000213280"
"22218","ENSG00000213281.5","NRAS"
"22219","ENSG00000213285.4","RPL23AP45"
"22220","ENSG00000213287.3","ENSG00000213287"
"22221","ENSG00000213290.4","PGK1P2"
"22222","ENSG00000213291.3","RPL31P39"
"22223","ENSG00000213293.4","RPL28P5"
"22224","ENSG00000213295.3","RPL22P10"
"22225","ENSG00000213296.4","ENSG00000213296"
"22226","ENSG00000213297.8","ZNF625-ZNF20"
"22227","ENSG00000213300.5","HNRNPA3P6"
"22228","ENSG00000213301.2","HMGB3P11"
"22229","ENSG00000213302.3","RPL31P37"
"22230","ENSG00000213303.3","RPS12P32"
"22231","ENSG00000213304.3","RPL18AP13"
"22232","ENSG00000213305.3","HNRNPCP6"
"22233","ENSG00000213307.4","RPL18P11"
"22234","ENSG00000213309.3","RPL9P18"
"22235","ENSG00000213310.3","CYCSP19"
"22236","ENSG00000213312.3","RPL7AP34"
"22237","ENSG00000213315.5","ENSG00000213315"
"22238","ENSG00000213316.10","LTC4S"
"22239","ENSG00000213318.4","ENSG00000213318"
"22240","ENSG00000213326.4","RPS7P11"
"22241","ENSG00000213328.3","ENSG00000213328"
"22242","ENSG00000213331.4","ENSG00000213331"
"22243","ENSG00000213332.4","SLC25A5P6"
"22244","ENSG00000213333.3","NPM1P50"
"22245","ENSG00000213335.4","CLNS1AP1"
"22246","ENSG00000213337.9","ANKRD39"
"22247","ENSG00000213338.3","ATF4P1"
"22248","ENSG00000213339.9","QTRT1"
"22249","ENSG00000213341.11","CHUK"
"22250","ENSG00000213343.5","RPL21P18"
"22251","ENSG00000213344.2","PCNPP3"
"22252","ENSG00000213347.11","MXD3"
"22253","ENSG00000213352.3","GAPDHP44"
"22254","ENSG00000213355.3","CNN2P8"
"22255","ENSG00000213358.3","NAA50P2"
"22256","ENSG00000213361.2","RPL36P12"
"22257","ENSG00000213362.3","FTH1P12"
"22258","ENSG00000213363.4","RPS3P6"
"22259","ENSG00000213365.3","ENSG00000213365"
"22260","ENSG00000213366.13","GSTM2"
"22261","ENSG00000213368.3","ST13P11"
"22262","ENSG00000213370.3","RANP6"
"22263","ENSG00000213371.4","NAP1L1P3"
"22264","ENSG00000213373.8","LINC00671"
"22265","ENSG00000213376.4","GAPDHP71"
"22266","ENSG00000213380.16","COG8"
"22267","ENSG00000213383.2","PP1P"
"22268","ENSG00000213384.2","EIF4E2P1"
"22269","ENSG00000213385.3","RPL7AP39"
"22270","ENSG00000213386.3","ENSG00000213386"
"22271","ENSG00000213390.11","ARHGAP19"
"22272","ENSG00000213393.5","ENSG00000213393"
"22273","ENSG00000213394.3","RPSAP46"
"22274","ENSG00000213397.12","HAUS7"
"22275","ENSG00000213398.8","LCAT"
"22276","ENSG00000213399.3","RPS2P17"
"22277","ENSG00000213400.3","RPL12P18"
"22278","ENSG00000213401.10","MAGEA12"
"22279","ENSG00000213402.3","PTPRCAP"
"22280","ENSG00000213403.2","CISD1P1"
"22281","ENSG00000213406.3","ANXA2P1"
"22282","ENSG00000213409.4","C1QBPP2"
"22283","ENSG00000213411.2","RBM22P2"
"22284","ENSG00000213412.3","HNRNPA1P33"
"22285","ENSG00000213413.3","PVRIG"
"22286","ENSG00000213414.3","ENSG00000213414"
"22287","ENSG00000213416.4","KRTAP4-12"
"22288","ENSG00000213417.3","KRTAP2-4"
"22289","ENSG00000213420.8","GPC2"
"22290","ENSG00000213421.4","RPL7AP17"
"22291","ENSG00000213423.4","RBMX2P2"
"22292","ENSG00000213424.9","KRT222"
"22293","ENSG00000213430.6","HSPD1P1"
"22294","ENSG00000213431.4","ABRAXAS1P1"
"22295","ENSG00000213432.2","RPL17P34"
"22296","ENSG00000213433.6","RPLP1P6"
"22297","ENSG00000213434.2","VTI1BP2"
"22298","ENSG00000213435.3","ATP6V0CP3"
"22299","ENSG00000213438.2","YBX2P1"
"22300","ENSG00000213439.3","OR5AC1"
"22301","ENSG00000213440.2","H2AZP1"
"22302","ENSG00000213442.5","RPL18AP3"
"22303","ENSG00000213443.2","NPM1P7"
"22304","ENSG00000213445.10","SIPA1"
"22305","ENSG00000213448.3","RPS23P2"
"22306","ENSG00000213449.2","GAPDHP28"
"22307","ENSG00000213450.4","VDAC1P7"
"22308","ENSG00000213451.2","OR6C69P"
"22309","ENSG00000213452.4","AKR1B1P2"
"22310","ENSG00000213453.3","FTH1P3"
"22311","ENSG00000213455.3","PPIAP82"
"22312","ENSG00000213461.3","RPL32P15"
"22313","ENSG00000213462.5","ERV3-1"
"22314","ENSG00000213463.5","SYNJ2BP"
"22315","ENSG00000213465.8","ARL2"
"22316","ENSG00000213467.4","HMGB1P37"
"22317","ENSG00000213468.8","FIRRE"
"22318","ENSG00000213470.4","RPL31P51"
"22319","ENSG00000213471.10","TTLL13"
"22320","ENSG00000213478.2","CFL1P2"
"22321","ENSG00000213480.3","KIAA1191P1"
"22322","ENSG00000213483.4","NDUFAF4P2"
"22323","ENSG00000213484.2","EIF4A1P8"
"22324","ENSG00000213486.3","ENSG00000213486"
"22325","ENSG00000213487.3","ASS1P4"
"22326","ENSG00000213488.4","ENSG00000213488"
"22327","ENSG00000213489.3","FBLIM1P1"
"22328","ENSG00000213492.3","NT5C3AP1"
"22329","ENSG00000213493.3","ACTN4P1"
"22330","ENSG00000213495.3","RPL26P13"
"22331","ENSG00000213498.3","TPT1P13"
"22332","ENSG00000213500.3","LAP3P2"
"22333","ENSG00000213509.4","PPIAP16"
"22334","ENSG00000213512.3","GBP7"
"22335","ENSG00000213513.3","IMPDH1P5"
"22336","ENSG00000213514.2","ENSG00000213514"
"22337","ENSG00000213516.10","RBMXL1"
"22338","ENSG00000213519.2","RPL36P7"
"22339","ENSG00000213522.4","RAC1P5"
"22340","ENSG00000213523.12","SRA1"
"22341","ENSG00000213525.3","FAM32CP"
"22342","ENSG00000213526.3","SETP8"
"22343","ENSG00000213527.5","ENSG00000213527"
"22344","ENSG00000213529.3","RPL32P22"
"22345","ENSG00000213530.3","MTHFD2P5"
"22346","ENSG00000213533.13","STIMATE"
"22347","ENSG00000213536.2","GNG5P1"
"22348","ENSG00000213538.5","KRT8P41"
"22349","ENSG00000213539.4","YBX1P6"
"22350","ENSG00000213540.3","TXN2P1"
"22351","ENSG00000213542.3","RPL7AP43"
"22352","ENSG00000213543.2","RARRES2P2"
"22353","ENSG00000213547.3","VN1R64P"
"22354","ENSG00000213548.3","PPIAP81"
"22355","ENSG00000213549.3","ENSG00000213549"
"22356","ENSG00000213551.7","DNAJC9"
"22357","ENSG00000213553.4","RPLP0P6"
"22358","ENSG00000213556.3","ENSG00000213556"
"22359","ENSG00000213557.4","RPL31P43"
"22360","ENSG00000213558.3","HMGN2P32"
"22361","ENSG00000213559.4","HNRNPA1P64"
"22362","ENSG00000213560.4","ENSG00000213560"
"22363","ENSG00000213561.4","ENSG00000213561"
"22364","ENSG00000213563.7","C8orf82"
"22365","ENSG00000213568.4","HNRNPA1P13"
"22366","ENSG00000213569.4","GTF3C6P2"
"22367","ENSG00000213574.2","LDHAP5"
"22368","ENSG00000213578.6","CPLX3"
"22369","ENSG00000213579.3","RPL29P5"
"22370","ENSG00000213585.11","VDAC1"
"22371","ENSG00000213587.3","ENSG00000213587"
"22372","ENSG00000213588.6","ZBTB9"
"22373","ENSG00000213590.2","ENSG00000213590"
"22374","ENSG00000213592.4","PPIAP42"
"22375","ENSG00000213593.11","TMX2"
"22376","ENSG00000213594.4","GAPDHP25"
"22377","ENSG00000213598.4","RPL31P4"
"22378","ENSG00000213599.10","SLX1A-SULT1A3"
"22379","ENSG00000213600.3","ENSG00000213600"
"22380","ENSG00000213601.3","KRT18P19"
"22381","ENSG00000213604.4","NAA50P1"
"22382","ENSG00000213605.2","ENSG00000213605"
"22383","ENSG00000213606.3","AKR1B10P1"
"22384","ENSG00000213607.4","OR4A45P"
"22385","ENSG00000213608.5","SLC25A14P1"
"22386","ENSG00000213609.3","RPL7AP50"
"22387","ENSG00000213612.3","FAM220CP"
"22388","ENSG00000213613.2","RPL11P3"
"22389","ENSG00000213614.11","HEXA"
"22390","ENSG00000213619.11","NDUFS3"
"22391","ENSG00000213620.3","RPL21P70"
"22392","ENSG00000213621.3","RPSAP54"
"22393","ENSG00000213625.9","LEPROT"
"22394","ENSG00000213626.13","LBH"
"22395","ENSG00000213630.3","BOLA3P3"
"22396","ENSG00000213638.6","ADAT3"
"22397","ENSG00000213639.11","PPP1CB"
"22398","ENSG00000213640.3","EEF1DP4"
"22399","ENSG00000213641.4","RPL7AP4"
"22400","ENSG00000213642.3","ENSG00000213642"
"22401","ENSG00000213643.3","VN1R37P"
"22402","ENSG00000213644.2","SAPCD2P1"
"22403","ENSG00000213645.2","SLC25A1P3"
"22404","ENSG00000213648.11","SULT1A4"
"22405","ENSG00000213650.3","ENSG00000213650"
"22406","ENSG00000213652.3","HMGB3P30"
"22407","ENSG00000213653.4","RPL22P22"
"22408","ENSG00000213654.10","GPSM3"
"22409","ENSG00000213655.4","ENSG00000213655"
"22410","ENSG00000213657.3","RPL31P44"
"22411","ENSG00000213658.13","LAT"
"22412","ENSG00000213659.4","RSU1P3"
"22413","ENSG00000213661.3","ENSG00000213661"
"22414","ENSG00000213663.4","RPL21P58"
"22415","ENSG00000213664.4","RPS16P8"
"22416","ENSG00000213667.3","PGGT1BP1"
"22417","ENSG00000213669.2","RPL21P86"
"22418","ENSG00000213671.3","OLA1P2"
"22419","ENSG00000213672.8","NCKIPSD"
"22420","ENSG00000213673.3","SLC25A5P3"
"22421","ENSG00000213676.13","ATF6B"
"22422","ENSG00000213683.4","SNRPA1P2"
"22423","ENSG00000213684.4","LDHBP2"
"22424","ENSG00000213689.14","TREX1"
"22425","ENSG00000213690.3","ENSG00000213690"
"22426","ENSG00000213693.4","SEC14L1P1"
"22427","ENSG00000213694.7","S1PR3"
"22428","ENSG00000213695.3","RPS7P14"
"22429","ENSG00000213697.3","CTBP2P6"
"22430","ENSG00000213698.2","CAPZA1P3"
"22431","ENSG00000213699.9","SLC35F6"
"22432","ENSG00000213700.3","RPL17P50"
"22433","ENSG00000213701.4","SETP22"
"22434","ENSG00000213703.2","RPL13AP9"
"22435","ENSG00000213704.3","EEF1A1P15"
"22436","ENSG00000213706.2","RHOG2P"
"22437","ENSG00000213707.2","HMGB1P10"
"22438","ENSG00000213708.6","SLC16A14P1"
"22439","ENSG00000213711.3","PHB1P7"
"22440","ENSG00000213713.3","PIGCP1"
"22441","ENSG00000213714.1","FAM209B"
"22442","ENSG00000213716.3","FABP5P5"
"22443","ENSG00000213717.3","ENSG00000213717"
"22444","ENSG00000213719.8","CLIC1"
"22445","ENSG00000213721.3","HMGN2P30"
"22446","ENSG00000213722.10","DDAH2"
"22447","ENSG00000213724.4","PRDX2P2"
"22448","ENSG00000213726.5","RPS2P52"
"22449","ENSG00000213727.3","SSBP3P3"
"22450","ENSG00000213729.3","RPS16P2"
"22451","ENSG00000213730.3","POLD2P1"
"22452","ENSG00000213731.2","RAB5CP1"
"22453","ENSG00000213735.2","ANAPC10P1"
"22454","ENSG00000213736.2","BRI3P2"
"22455","ENSG00000213739.3","PPIAP68"
"22456","ENSG00000213740.2","SERBP1P1"
"22457","ENSG00000213741.11","RPS29"
"22458","ENSG00000213742.9","ZNF337-AS1"
"22459","ENSG00000213744.3","RPS10P14"
"22460","ENSG00000213747.2","WASHC3P1"
"22461","ENSG00000213750.4","ENSG00000213750"
"22462","ENSG00000213752.3","ENSG00000213752"
"22463","ENSG00000213753.12","CENPBD2P"
"22464","ENSG00000213754.2","KPNA4P1"
"22465","ENSG00000213755.3","RPL29P15"
"22466","ENSG00000213757.3","RPS3AP20"
"22467","ENSG00000213759.10","UGT2B11"
"22468","ENSG00000213760.11","ATP6V1G2"
"22469","ENSG00000213761.4","MT1P1"
"22470","ENSG00000213762.12","ZNF134"
"22471","ENSG00000213763.4","ACTBP2"
"22472","ENSG00000213770.3","FAM210CP"
"22473","ENSG00000213771.3","KRT8P37"
"22474","ENSG00000213772.3","EIF1P7"
"22475","ENSG00000213774.3","ENSG00000213774"
"22476","ENSG00000213777.6","ENSG00000213777"
"22477","ENSG00000213778.2","HNRNPA1P32"
"22478","ENSG00000213779.4","RPL29P21"
"22479","ENSG00000213780.11","GTF2H4"
"22480","ENSG00000213781.3","PSMC1P2"
"22481","ENSG00000213782.7","DDX47"
"22482","ENSG00000213783.4","RPL35P4"
"22483","ENSG00000213785.3","AKR1B1P3"
"22484","ENSG00000213786.3","NHP2P2"
"22485","ENSG00000213787.3","RPL7AP38"
"22486","ENSG00000213790.2","OLA1P1"
"22487","ENSG00000213791.4","ENSG00000213791"
"22488","ENSG00000213793.6","ZNF888"
"22489","ENSG00000213798.3","RPL7AP41"
"22490","ENSG00000213799.13","ZNF845"
"22491","ENSG00000213801.5","ZNF321P"
"22492","ENSG00000213809.9","KLRK1"
"22493","ENSG00000213816.3","CNN2P4"
"22494","ENSG00000213820.3","RPL13P2"
"22495","ENSG00000213822.7","CEACAM18"
"22496","ENSG00000213830.3","CFL1P5"
"22497","ENSG00000213839.4","TMX2P1"
"22498","ENSG00000213842.2","SUGT1P2"
"22499","ENSG00000213849.3","RPL31P18"
"22500","ENSG00000213851.3","ENSG00000213851"
"22501","ENSG00000213853.10","EMP2"
"22502","ENSG00000213854.3","CNN2P6"
"22503","ENSG00000213856.3","VDAC1P2"
"22504","ENSG00000213857.3","ACTBP15"
"22505","ENSG00000213859.8","KCTD11"
"22506","ENSG00000213860.4","RPL21P75"
"22507","ENSG00000213862.4","RPL7AP62"
"22508","ENSG00000213864.3","EEF1B2P2"
"22509","ENSG00000213866.3","YBX1P10"
"22510","ENSG00000213867.4","ENSG00000213867"
"22511","ENSG00000213871.3","TAF9BP1"
"22512","ENSG00000213872.3","RPL32P11"
"22513","ENSG00000213873.4","PPIAP86"
"22514","ENSG00000213875.3","ENSG00000213875"
"22515","ENSG00000213876.4","RPL7AP64"
"22516","ENSG00000213877.3","CFL1P7"
"22517","ENSG00000213880.3","RPL7AP7"
"22518","ENSG00000213881.3","NPM1P6"
"22519","ENSG00000213882.2","CYB5AP4"
"22520","ENSG00000213885.5","RPL13AP7"
"22521","ENSG00000213886.4","UBD"
"22522","ENSG00000213888.4","LINC01521"
"22523","ENSG00000213889.12","PPM1N"
"22524","ENSG00000213891.3","RPL3P6"
"22525","ENSG00000213892.12","CEACAM16"
"22526","ENSG00000213896.4","RPL31P8"
"22527","ENSG00000213900.2","RPS17P1"
"22528","ENSG00000213901.11","SLC23A3"
"22529","ENSG00000213903.9","LTB4R"
"22530","ENSG00000213904.12","LIPE-AS1"
"22531","ENSG00000213906.10","LTB4R2"
"22532","ENSG00000213908.4","CYP2A7P1"
"22533","ENSG00000213911.2","OR2G1P"
"22534","ENSG00000213916.2","RPL13P"
"22535","ENSG00000213917.2","RPL5P8"
"22536","ENSG00000213918.11","DNASE1"
"22537","ENSG00000213920.9","MDP1"
"22538","ENSG00000213921.8","LEUTX"
"22539","ENSG00000213923.13","CSNK1E"
"22540","ENSG00000213924.3","HNRNPH1P2"
"22541","ENSG00000213925.3","NPM1P33"
"22542","ENSG00000213926.3","MSRB1P1"
"22543","ENSG00000213927.4","CCL27"
"22544","ENSG00000213928.10","IRF9"
"22545","ENSG00000213930.12","GALT"
"22546","ENSG00000213931.7","HBE1"
"22547","ENSG00000213934.9","HBG1"
"22548","ENSG00000213935.3","RPL22P16"
"22549","ENSG00000213937.4","CLDN9"
"22550","ENSG00000213938.3","SEPHS1P6"
"22551","ENSG00000213939.4","ENSG00000213939"
"22552","ENSG00000213940.4","RPL13AP13"
"22553","ENSG00000213942.3","RPL31P10"
"22554","ENSG00000213943.3","KRT18P17"
"22555","ENSG00000213946.3","DNAJB1P1"
"22556","ENSG00000213949.10","ITGA1"
"22557","ENSG00000213950.2","RPS10P2"
"22558","ENSG00000213954.3","ATP5PDP3"
"22559","ENSG00000213956.4","ENSG00000213956"
"22560","ENSG00000213958.2","KRT18P29"
"22561","ENSG00000213959.2","ENSG00000213959"
"22562","ENSG00000213962.2","API5P2"
"22563","ENSG00000213963.7","ENSG00000213963"
"22564","ENSG00000213964.3","CHCHD4P4"
"22565","ENSG00000213965.4","NUDT19"
"22566","ENSG00000213967.12","ZNF726"
"22567","ENSG00000213970.5","ENSG00000213970"
"22568","ENSG00000213972.3","HNRNPA3P17"
"22569","ENSG00000213973.10","ZNF99"
"22570","ENSG00000213976.4","ENSG00000213976"
"22571","ENSG00000213977.8","TAX1BP3"
"22572","ENSG00000213979.3","RPL7AP14"
"22573","ENSG00000213981.9","ENSG00000213981"
"22574","ENSG00000213983.12","AP1G2"
"22575","ENSG00000213985.4","ACTR2P2"
"22576","ENSG00000213987.4","RPL36AP9"
"22577","ENSG00000213988.11","ZNF90"
"22578","ENSG00000213994.4","ENSG00000213994"
"22579","ENSG00000213995.12","NAXD"
"22580","ENSG00000213996.13","TM6SF2"
"22581","ENSG00000213997.3","PGAM1P7"
"22582","ENSG00000213999.17","MEF2B"
"22583","ENSG00000214003.2","ATP5PBP3"
"22584","ENSG00000214009.2","PCNAP3"
"22585","ENSG00000214012.4","KRT18P38"
"22586","ENSG00000214013.10","GANC"
"22587","ENSG00000214015.3","RPL32P23"
"22588","ENSG00000214016.3","RPSAP61"
"22589","ENSG00000214018.3","RRM2P3"
"22590","ENSG00000214019.2","RBM39P1"
"22591","ENSG00000214020.3","FTLP4"
"22592","ENSG00000214021.19","TTLL3"
"22593","ENSG00000214022.12","REPIN1"
"22594","ENSG00000214024.2","RPL23AP29"
"22595","ENSG00000214025.2","ATP5PBP4"
"22596","ENSG00000214026.11","MRPL23"
"22597","ENSG00000214027.3","ARPC3P5"
"22598","ENSG00000214029.6","ZNF891"
"22599","ENSG00000214031.2","CLDN7P1"
"22600","ENSG00000214035.3","ENSG00000214035"
"22601","ENSG00000214039.11","LINC02418"
"22602","ENSG00000214041.4","PGAM1P4"
"22603","ENSG00000214042.1","IFNA7"
"22604","ENSG00000214043.8","LINC02347"
"22605","ENSG00000214045.3","IMPDH1P2"
"22606","ENSG00000214046.9","SMIM7"
"22607","ENSG00000214047.4","RPS11P7"
"22608","ENSG00000214049.9","UCA1"
"22609","ENSG00000214050.8","FBXO16"
"22610","ENSG00000214051.3","ARF4P3"
"22611","ENSG00000214062.5","RPL7P17"
"22612","ENSG00000214063.12","TSPAN4"
"22613","ENSG00000214064.3","RPL6P5"
"22614","ENSG00000214067.2","ENSG00000214067"
"22615","ENSG00000214070.3","MANEALP1"
"22616","ENSG00000214071.4","FTH1P29"
"22617","ENSG00000214073.2","RPL21P17"
"22618","ENSG00000214074.3","RPL23AP39"
"22619","ENSG00000214076.3","CPSF1P1"
"22620","ENSG00000214077.4","GNAQP1"
"22621","ENSG00000214078.13","CPNE1"
"22622","ENSG00000214081.9","CYP4F30P"
"22623","ENSG00000214087.10","ARL16"
"22624","ENSG00000214089.3","RPL9P21"
"22625","ENSG00000214093.3","RPS18P14"
"22626","ENSG00000214097.5","SMCO1"
"22627","ENSG00000214100.11","PLAC9P1"
"22628","ENSG00000214102.7","WEE2"
"22629","ENSG00000214106.10","PAXIP1-AS2"
"22630","ENSG00000214107.9","MAGEB1"
"22631","ENSG00000214108.4","TPT1P5"
"22632","ENSG00000214110.3","LDHAP4"
"22633","ENSG00000214111.3","PAFAH1B2P1"
"22634","ENSG00000214113.11","LYRM4"
"22635","ENSG00000214114.9","MYCBP"
"22636","ENSG00000214121.4","PRDX1P1"
"22637","ENSG00000214124.3","SNRPEP9"
"22638","ENSG00000214125.2","SNRPNP2"
"22639","ENSG00000214128.11","TMEM213"
"22640","ENSG00000214132.4","ENSG00000214132"
"22641","ENSG00000214135.11","SDHAP4"
"22642","ENSG00000214140.11","PRCD"
"22643","ENSG00000214141.4","ACTN4P2"
"22644","ENSG00000214142.2","RPL7P60"
"22645","ENSG00000214144.3","ENSG00000214144"
"22646","ENSG00000214145.9","LINC00887"
"22647","ENSG00000214146.4","LINC02026"
"22648","ENSG00000214147.2","ENAHP1"
"22649","ENSG00000214160.10","ALG3"
"22650","ENSG00000214161.3","SDC4P"
"22651","ENSG00000214174.11","AMZ2P1"
"22652","ENSG00000214176.12","PLEKHM1P1"
"22653","ENSG00000214178.3","PPIAP23"
"22654","ENSG00000214182.6","PTMAP5"
"22655","ENSG00000214184.4","GCC2-AS1"
"22656","ENSG00000214185.3","XPOTP1"
"22657","ENSG00000214188.9","ST7-OT4"
"22658","ENSG00000214189.10","ZNF788P"
"22659","ENSG00000214190.2","RNF152P1"
"22660","ENSG00000214192.3","UBE2V1P2"
"22661","ENSG00000214193.11","SH3D21"
"22662","ENSG00000214194.9","SMIM30"
"22663","ENSG00000214195.4","HMGN2P31"
"22664","ENSG00000214198.9","TTC41P"
"22665","ENSG00000214199.3","EEF1A1P12"
"22666","ENSG00000214200.2","TPM3P2"
"22667","ENSG00000214203.4","RPS4XP1"
"22668","ENSG00000214204.4","HNRNPA1P43"
"22669","ENSG00000214207.2","KRT18P10"
"22670","ENSG00000214210.4","NGRNP1"
"22671","ENSG00000214211.2","CTAGE14P"
"22672","ENSG00000214212.9","C19orf38"
"22673","ENSG00000214216.11","IQCJ"
"22674","ENSG00000214222.2","TUBBP2"
"22675","ENSG00000214223.4","HNRNPA1P10"
"22676","ENSG00000214226.9","C17orf67"
"22677","ENSG00000214237.11","MINDY4B"
"22678","ENSG00000214243.3","ENSG00000214243"
"22679","ENSG00000214244.4","SETP21"
"22680","ENSG00000214245.3","PUDPP3"
"22681","ENSG00000214248.3","ENSG00000214248"
"22682","ENSG00000214249.3","CTAGE11P"
"22683","ENSG00000214252.4","AZGP1P2"
"22684","ENSG00000214253.9","FIS1"
"22685","ENSG00000214254.3","ENSG00000214254"
"22686","ENSG00000214255.5","RPS2P6"
"22687","ENSG00000214259.3","RPL10AP12"
"22688","ENSG00000214262.5","ANKRD36BP1"
"22689","ENSG00000214263.2","RPSAP53"
"22690","ENSG00000214264.4","KCTD9P4"
"22691","ENSG00000214265.11","ENSG00000214265"
"22692","ENSG00000214266.2","STARP1"
"22693","ENSG00000214268.2","RPS3AP33"
"22694","ENSG00000214269.3","LGMNP1"
"22695","ENSG00000214273.4","AGGF1P1"
"22696","ENSG00000214274.10","ANG"
"22697","ENSG00000214278.4","ENSG00000214278"
"22698","ENSG00000214279.13","SCART1"
"22699","ENSG00000214280.3","DTWD1P1"
"22700","ENSG00000214281.3","HMGN2P39"
"22701","ENSG00000214282.3","KRT8P14"
"22702","ENSG00000214283.4","RAD51AP1P1"
"22703","ENSG00000214285.3","NPS"
"22704","ENSG00000214286.2","PDCL3P3"
"22705","ENSG00000214288.4","HMGB3P13"
"22706","ENSG00000214289.3","RPL39P5"
"22707","ENSG00000214290.9","POU2AF3"
"22708","ENSG00000214293.12","APTR"
"22709","ENSG00000214295.4","FOXO1B"
"22710","ENSG00000214297.3","ALDOAP2"
"22711","ENSG00000214298.3","MRPS21P6"
"22712","ENSG00000214300.8","SPDYE3"
"22713","ENSG00000214301.4","MAF1P1"
"22714","ENSG00000214305.4","Metazoa_SRP"
"22715","ENSG00000214309.5","MBLAC1"
"22716","ENSG00000214313.11","AZGP1P1"
"22717","ENSG00000214318.3","ATP5MC1P6"
"22718","ENSG00000214319.2","CXADRP1"
"22719","ENSG00000214321.3","CBX1P4"
"22720","ENSG00000214322.3","CBX1P2"
"22721","ENSG00000214324.5","PRR23E"
"22722","ENSG00000214326.2","RPL31P1"
"22723","ENSG00000214329.8","SLC9B1P2"
"22724","ENSG00000214330.4","ABCD1P5"
"22725","ENSG00000214331.9","PDPR2P"
"22726","ENSG00000214335.3","CTAGE16P"
"22727","ENSG00000214336.5","FOXI3"
"22728","ENSG00000214338.11","MTCL3"
"22729","ENSG00000214342.2","ATP5PBP2"
"22730","ENSG00000214344.5","OR4F13P"
"22731","ENSG00000214347.9","ENSG00000214347"
"22732","ENSG00000214351.5","OR1X5P"
"22733","ENSG00000214353.8","VAC14-AS1"
"22734","ENSG00000214354.3","PAFAH1B1P1"
"22735","ENSG00000214357.9","NEURL1B"
"22736","ENSG00000214359.3","RPL18P10"
"22737","ENSG00000214360.5","EFCAB9"
"22738","ENSG00000214362.2","RPS3AP36"
"22739","ENSG00000214366.4","EIF4EP5"
"22740","ENSG00000214367.10","HAUS3"
"22741","ENSG00000214369.2","CYB5AP2"
"22742","ENSG00000214374.2","RPLP2P1"
"22743","ENSG00000214376.6","VSTM5"
"22744","ENSG00000214380.4","NFYBP1"
"22745","ENSG00000214381.7","LINC00488"
"22746","ENSG00000214389.2","RPS3AP26"
"22747","ENSG00000214391.3","TUBAP2"
"22748","ENSG00000214401.7","KANSL1-AS1"
"22749","ENSG00000214402.7","LCNL1"
"22750","ENSG00000214405.3","RAP1BP2"
"22751","ENSG00000214407.4","RDUR"
"22752","ENSG00000214413.9","BBIP1"
"22753","ENSG00000214414.9","TRIM77"
"22754","ENSG00000214415.4","GNAT3"
"22755","ENSG00000214417.4","KRT18P13"
"22756","ENSG00000214424.5","FAM149B1P1"
"22757","ENSG00000214425.11","LRRC37A4P"
"22758","ENSG00000214428.3","NPM1P10"
"22759","ENSG00000214429.3","CYCSP6"
"22760","ENSG00000214432.10","VPS33B-DT"
"22761","ENSG00000214433.4","GOLGA2P8"
"22762","ENSG00000214434.2","NIFKP1"
"22763","ENSG00000214435.9","AS3MT"
"22764","ENSG00000214439.7","FAM185BP"
"22765","ENSG00000214447.6","FAM187A"
"22766","ENSG00000214455.4","RCN1P2"
"22767","ENSG00000214456.8","PLIN5"
"22768","ENSG00000214457.3","RPL7P29"
"22769","ENSG00000214460.3","TPT1P6"
"22770","ENSG00000214465.3","SMARCE1P6"
"22771","ENSG00000214484.3","RPSAP28"
"22772","ENSG00000214485.6","RPL7P1"
"22773","ENSG00000214487.3","OR7E148P"
"22774","ENSG00000214491.9","SEC14L6"
"22775","ENSG00000214510.10","SPINK13"
"22776","ENSG00000214511.4","HIGD1C"
"22777","ENSG00000214513.4","NOTO"
"22778","ENSG00000214514.9","KRT42P"
"22779","ENSG00000214517.10","PPME1"
"22780","ENSG00000214518.4","KRTAP2-2"
"22781","ENSG00000214525.4","ENSG00000214525"
"22782","ENSG00000214526.3","RPS10P30"
"22783","ENSG00000214530.10","STARD10"
"22784","ENSG00000214533.3","KRT18P33"
"22785","ENSG00000214534.6","ZNF705EP"
"22786","ENSG00000214535.3","RPS15AP1"
"22787","ENSG00000214541.3","RPS4XP3"
"22788","ENSG00000214544.8","GTF2IRD2P1"
"22789","ENSG00000214546.5","ENSG00000214546"
"22790","ENSG00000214548.19","MEG3"
"22791","ENSG00000214549.2","SDHCP2"
"22792","ENSG00000214552.4","COPS8P2"
"22793","ENSG00000214553.12","LRRC37A11P"
"22794","ENSG00000214558.5","ZC3H11C"
"22795","ENSG00000214559.3","ENSG00000214559"
"22796","ENSG00000214560.4","RPL21P41"
"22797","ENSG00000214561.3","RBBP4P4"
"22798","ENSG00000214562.15","NUTM2D"
"22799","ENSG00000214563.2","GAPDHP15"
"22800","ENSG00000214575.10","CPEB1"
"22801","ENSG00000214578.5","HMGN2P15"
"22802","ENSG00000214581.7","ZNF971P"
"22803","ENSG00000214584.3","PGGT1BP2"
