"","V1","V2"
"154","ENSG00000006715.16","VPS41"
"155","ENSG00000006740.18","ARHGAP44"
"156","ENSG00000006744.19","ELAC2"
"157","ENSG00000006747.15","SCIN"
"158","ENSG00000006756.16","ARSD"
"159","ENSG00000006757.12","PNPLA4"
"160","ENSG00000006788.14","MYH13"
"161","ENSG00000006831.10","ADIPOR2"
"162","ENSG00000006837.12","CDKL3"
"163","ENSG00000007001.14","UPP2"
"164","ENSG00000007038.11","PRSS21"
"165","ENSG00000007047.16","MARK4"
"166","ENSG00000007062.12","PROM1"
"167","ENSG00000007080.11","CCDC124"
"168","ENSG00000007129.18","CEACAM21"
"169","ENSG00000007168.15","PAFAH1B1"
"170","ENSG00000007171.19","NOS2"
"171","ENSG00000007174.18","DNAH9"
"172","ENSG00000007202.16","BLTP2"
"173","ENSG00000007216.16","SLC13A2"
"174","ENSG00000007237.19","GAS7"
"175","ENSG00000007255.10","TRAPPC6A"
"176","ENSG00000007264.15","MATK"
"177","ENSG00000007306.15","CEACAM7"
"178","ENSG00000007312.14","CD79B"
"179","ENSG00000007314.12","SCN4A"
"180","ENSG00000007341.19","ST7L"
"181","ENSG00000007350.18","TKTL1"
"182","ENSG00000007372.25","PAX6"
"183","ENSG00000007376.8","RPUSD1"
"184","ENSG00000007384.15","RHBDF1"
"185","ENSG00000007392.17","LUC7L"
"186","ENSG00000007402.12","CACNA2D2"
"187","ENSG00000007516.15","BAIAP3"
"188","ENSG00000007520.4","TSR3"
"189","ENSG00000007541.17","PIGQ"
"190","ENSG00000007545.16","CRAMP1"
"191","ENSG00000007866.22","TEAD3"
"192","ENSG00000007908.16","SELE"
"193","ENSG00000007923.17","DNAJC11"
"194","ENSG00000007933.13","FMO3"
"195","ENSG00000007944.16","MYLIP"
"196","ENSG00000007952.18","NOX1"
"197","ENSG00000007968.7","E2F2"
"198","ENSG00000008018.9","PSMB1"
"199","ENSG00000008056.14","SYN1"
"200","ENSG00000008083.14","JARID2"
"201","ENSG00000008086.13","CDKL5"
"202","ENSG00000008118.10","CAMK1G"
"203","ENSG00000008128.23","CDK11A"
"204","ENSG00000008130.15","NADK"
"205","ENSG00000008196.13","TFAP2B"
"206","ENSG00000008197.5","TFAP2D"
"207","ENSG00000008226.20","DLEC1"
"208","ENSG00000008256.17","CYTH3"
"209","ENSG00000008277.15","ADAM22"
"210","ENSG00000008282.10","SYPL1"
"211","ENSG00000008283.16","CYB561"
"212","ENSG00000008294.22","SPAG9"
"213","ENSG00000008300.17","CELSR3"
"214","ENSG00000008311.16","AASS"
"215","ENSG00000008323.16","PLEKHG6"
"216","ENSG00000008324.12","SS18L2"
"217","ENSG00000008382.16","MPND"
"218","ENSG00000008394.13","MGST1"
"219","ENSG00000008405.12","CRY1"
"220","ENSG00000008438.5","PGLYRP1"
"221","ENSG00000008441.19","NFIX"
"222","ENSG00000008513.17","ST3GAL1"
"223","ENSG00000008516.19","MMP25"
"224","ENSG00000008517.19","IL32"
"225","ENSG00000008710.20","PKD1"
"226","ENSG00000008735.14","MAPK8IP2"
"227","ENSG00000008838.21","MED24"
"228","ENSG00000008853.18","RHOBTB2"
"229","ENSG00000008869.12","HEATR5B"
"230","ENSG00000008952.17","SEC62"
"231","ENSG00000008988.11","RPS20"
"232","ENSG00000009307.17","CSDE1"
"233","ENSG00000009335.19","UBE3C"
"234","ENSG00000009413.17","REV3L"
"235","ENSG00000009694.14","TENM1"
"236","ENSG00000009709.13","PAX7"
"237","ENSG00000009724.18","MASP2"
"238","ENSG00000009765.15","IYD"
"239","ENSG00000009780.16","FAM76A"
"240","ENSG00000009790.15","TRAF3IP3"
"241","ENSG00000009830.13","POMT2"
"242","ENSG00000009844.16","VTA1"
"243","ENSG00000009950.16","MLXIPL"
"244","ENSG00000009954.11","BAZ1B"
"245","ENSG00000010017.13","RANBP9"
"246","ENSG00000010030.14","ETV7"
"247","ENSG00000010072.16","SPRTN"
"248","ENSG00000010165.20","METTL13"
"249","ENSG00000010219.14","DYRK4"
"250","ENSG00000010244.19","ZNF207"
"251","ENSG00000010256.12","UQCRC1"
"252","ENSG00000010270.14","STARD3NL"
"253","ENSG00000010278.15","CD9"
"254","ENSG00000010282.15","HHATL"
"255","ENSG00000010292.13","NCAPD2"
"256","ENSG00000010295.20","IFFO1"
"257","ENSG00000010310.9","GIPR"
"258","ENSG00000010318.22","PHF7"
"259","ENSG00000010319.7","SEMA3G"
"260","ENSG00000010322.16","NISCH"
"261","ENSG00000010327.10","STAB1"
"262","ENSG00000010361.14","FUZ"
"263","ENSG00000010379.16","SLC6A13"
"264","ENSG00000010404.18","IDS"
"265","ENSG00000010438.17","PRSS3"
"266","ENSG00000010539.12","ZNF200"
"267","ENSG00000010610.10","CD4"
"268","ENSG00000010626.15","LRRC23"
"269","ENSG00000010671.18","BTK"
"270","ENSG00000010704.20","HFE"
"271","ENSG00000010803.17","SCMH1"
"272","ENSG00000010810.18","FYN"
"273","ENSG00000010818.11","HIVEP2"
"274","ENSG00000010932.17","FMO1"
"275","ENSG00000011007.13","ELOA"
"276","ENSG00000011009.12","LYPLA2"
"277","ENSG00000011021.23","CLCN6"
"278","ENSG00000011028.14","MRC2"
"279","ENSG00000011052.21","NME1-NME2"
"280","ENSG00000011083.9","SLC6A7"
"281","ENSG00000011105.14","TSPAN9"
"282","ENSG00000011114.15","BTBD7"
"283","ENSG00000011132.12","APBA3"
"284","ENSG00000011143.19","MKS1"
"285","ENSG00000011198.10","ABHD5"
"286","ENSG00000011201.12","ANOS1"
"287","ENSG00000011243.19","AKAP8L"
"288","ENSG00000011258.16","MBTD1"
"289","ENSG00000011260.14","UTP18"
"290","ENSG00000011275.19","RNF216"
"291","ENSG00000011295.16","TTC19"
"292","ENSG00000011304.22","PTBP1"
"293","ENSG00000011332.22","DPF1"
"294","ENSG00000011347.10","SYT7"
"295","ENSG00000011376.12","LARS2"
"296","ENSG00000011405.14","PIK3C2A"
"297","ENSG00000011422.12","PLAUR"
"298","ENSG00000011426.11","ANLN"
"299","ENSG00000011451.21","WIZ"
"300","ENSG00000011454.18","RABGAP1"
"301","ENSG00000011465.18","DCN"
"302","ENSG00000011478.13","QPCTL"
"303","ENSG00000011485.15","PPP5C"
"304","ENSG00000011523.15","CEP68"
"305","ENSG00000011566.15","MAP4K3"
"306","ENSG00000011590.14","ZBTB32"
"307","ENSG00000011600.12","TYROBP"
"308","ENSG00000011638.11","LDAF1"
"309","ENSG00000011677.13","GABRA3"
"310","ENSG00000012048.26","BRCA1"
"311","ENSG00000012061.17","ERCC1"
"312","ENSG00000012124.17","CD22"
"313","ENSG00000012171.20","SEMA3B"
"314","ENSG00000012174.12","MBTPS2"
"315","ENSG00000012211.13","PRICKLE3"
"316","ENSG00000012223.13","LTF"
"317","ENSG00000012232.10","EXTL3"
"318","ENSG00000012504.15","NR1H4"
"319","ENSG00000012660.14","ELOVL5"
"320","ENSG00000012779.12","ALOX5"
"321","ENSG00000012817.16","KDM5D"
"322","ENSG00000012822.16","CALCOCO1"
"323","ENSG00000012963.15","UBR7"
"324","ENSG00000012983.12","MAP4K5"
"325","ENSG00000013016.16","EHD3"
"326","ENSG00000013275.8","PSMC4"
"327","ENSG00000013288.9","MAN2B2"
"328","ENSG00000013293.6","SLC7A14"
"329","ENSG00000013297.12","CLDN11"
"330","ENSG00000013306.16","SLC25A39"
"331","ENSG00000013364.19","MVP"
"332","ENSG00000013374.17","NUB1"
"333","ENSG00000013375.17","PGM3"
"334","ENSG00000013392.8","RWDD2A"
"335","ENSG00000013441.17","CLK1"
"336","ENSG00000013503.10","POLR3B"
"337","ENSG00000013523.12","ANGEL1"
"338","ENSG00000013561.18","RNF14"
"339","ENSG00000013563.14","DNASE1L1"
"340","ENSG00000013573.17","DDX11"
"341","ENSG00000013583.10","HEBP1"
"342","ENSG00000013588.10","GPRC5A"
"343","ENSG00000013619.15","MAMLD1"
"344","ENSG00000013725.14","CD6"
"345","ENSG00000013810.21","TACC3"
"346","ENSG00000014123.10","UFL1"
"347","ENSG00000014138.10","POLA2"
"348","ENSG00000014164.7","ZC3H3"
"349","ENSG00000014216.16","CAPN1"
"350","ENSG00000014257.17","ACP3"
"351","ENSG00000014641.21","MDH1"
"352","ENSG00000014824.14","SLC30A9"
"353","ENSG00000014914.21","MTMR11"
"354","ENSG00000014919.13","COX15"
"355","ENSG00000015133.20","CCDC88C"
"356","ENSG00000015153.15","YAF2"
"357","ENSG00000015171.21","ZMYND11"
"358","ENSG00000015285.12","WAS"
"359","ENSG00000015413.10","DPEP1"
"360","ENSG00000015475.19","BID"
"361","ENSG00000015479.20","MATR3"
"362","ENSG00000015520.15","NPC1L1"
"363","ENSG00000015532.10","XYLT2"
"364","ENSG00000015568.13","RGPD5"
"365","ENSG00000015592.17","STMN4"
"366","ENSG00000015676.18","NUDCD3"
"367","ENSG00000016082.15","ISL1"
"368","ENSG00000016391.11","CHDH"
"369","ENSG00000016402.14","IL20RA"
"370","ENSG00000016490.16","CLCA1"
"371","ENSG00000016602.9","CLCA4"
"372","ENSG00000016864.19","GLT8D1"
"373","ENSG00000017260.20","ATP2C1"
"374","ENSG00000017427.17","IGF1"
"375","ENSG00000017483.16","SLC38A5"
"376","ENSG00000017797.13","RALBP1"
"377","ENSG00000018189.13","RUFY3"
"378","ENSG00000018236.15","CNTN1"
"379","ENSG00000018280.18","SLC11A1"
"380","ENSG00000018408.15","WWTR1"
"381","ENSG00000018510.18","AGPS"
"382","ENSG00000018607.9","ZNF285CP"
"383","ENSG00000018610.15","STEEP1"
"384","ENSG00000018625.15","ATP1A2"
"385","ENSG00000018699.13","TTC27"
"386","ENSG00000018869.18","ZNF582"
"387","ENSG00000019102.12","VSIG2"
"388","ENSG00000019144.20","PHLDB1"
"389","ENSG00000019169.11","MARCO"
"390","ENSG00000019186.10","CYP24A1"
"391","ENSG00000019485.14","PRDM11"
"392","ENSG00000019505.8","SYT13"
"393","ENSG00000019549.13","SNAI2"
"394","ENSG00000019582.17","CD74"
"395","ENSG00000019991.18","HGF"
"396","ENSG00000019995.6","ZRANB1"
"397","ENSG00000020129.16","NCDN"
"398","ENSG00000020181.18","ADGRA2"
"399","ENSG00000020219.9","CCT8L1P"
"400","ENSG00000020256.20","ZFP64"
"401","ENSG00000020426.11","MNAT1"
"402","ENSG00000020577.14","SAMD4A"
"403","ENSG00000020633.19","RUNX3"
"404","ENSG00000020922.13","MRE11"
"405","ENSG00000021300.14","PLEKHB1"
"406","ENSG00000021355.13","SERPINB1"
"407","ENSG00000021461.18","CYP3A43"
"408","ENSG00000021488.13","SLC7A9"
"409","ENSG00000021574.15","SPAST"
