"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSMO1",1094.73461761328,-0.528564733680594,0.063365136921814,-8.34157013394902,7.33105267330423e-17,1.28848487199517e-13
"MMP2",97.6875861884904,-0.63175496108214,0.185724239916797,-3.40157515984538,0.0006699870249111,0.0380270049367046
"SYNDIG1",91.4293892486515,0.659292487024154,0.161074544564213,4.09308925136415,4.2566378090301e-05,0.00584080744130005
"HMGCS1",5526.21813514517,-0.555580463659317,0.0450095864270661,-12.3436029468874,5.27418016222523e-35,1.62220596339643e-31
"HELB",166.037621085358,0.501476352805191,0.144835451329634,3.46238678584202,0.000535407114350021,0.0321322620870649
"LDLR",913.490379456039,-0.649828029601756,0.0684495804459516,-9.49352830752361,2.23343799055391e-21,5.49559751955695e-18
"NTS",200.163002968131,-0.529952969552554,0.106070057844061,-4.99625417694846,5.84546050247807e-07,0.000211519707535258
"CCN3",104.62916854028,-0.515638922675947,0.151206710058046,-3.41015899676675,0.000649250177242594,0.03750105601228
"SULF1",101.23428813096,-0.769482348685621,0.15516904202291,-4.95899400198662,7.0859154710948e-07,0.000242136653052871
"THAP8",115.70879390607,0.564272573158074,0.168463572002478,3.34952278674094,0.000809508968502532,0.0433016906064637
"CHCHD4",5014.46098078227,2.93721437423983,0.0530644891146408,55.3517884228426,0,0
"ETV4",218.702254519288,-0.766640596275872,0.13414243348899,-5.71512366620957,1.09624272032573e-08,7.09846009903548e-06
"METRNL",140.409948354826,-0.513435063443095,0.139859144159111,-3.67108683904846,0.000241521256457816,0.020213850463949
"INSIG1",2562.92056222485,-0.80700867438751,0.0504300878445263,-16.0025236695102,1.22698875679327e-57,5.0318808916092e-54
"BTBD8",127.919540968695,0.560961611092936,0.151229717487442,3.70933451713627,0.000207804724797529,0.0182615823513143
"HSPA1B",10810.7374773384,0.879060716169133,0.0532442009617004,16.5099804352677,3.10984118695924e-61,1.91301880615798e-57
"HCP5",107.518972585572,0.558914856520863,0.147850725466809,3.78026455234631,0.000156661807513685,0.0152969064908006
"ETV5",630.677888243804,-0.748693467291151,0.103856819477817,-7.20890039821668,5.64054991293126e-13,6.30869868898121e-10
"NEAT1",1991.68853572237,0.615100696237287,0.0996591265854348,6.17204582572756,6.74119540399398e-10,4.87864276796105e-07
"CIROP",180.305381984893,0.625309906375119,0.155297096368642,4.02653958764798,5.66037132130247e-05,0.00703429781474589
