"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process",147,-0.457945208136476,-1.80084584633422,1.38632817059892e-05,0.026957151277296,0.0256908499404147,2497,"tags=34%, list=13%, signal=30%","ENSG00000144908/ENSG00000171174/ENSG00000181192/ENSG00000149925/ENSG00000074800/ENSG00000106733/ENSG00000067225/ENSG00000159322/ENSG00000108515/ENSG00000120053/ENSG00000170525/ENSG00000105953/ENSG00000111640/ENSG00000173599/ENSG00000112874/ENSG00000154803/ENSG00000067057/ENSG00000213465/ENSG00000160211/ENSG00000082212/ENSG00000175567/ENSG00000173614/ENSG00000111674/ENSG00000108262/ENSG00000142156/ENSG00000197713/ENSG00000114166/ENSG00000167965/ENSG00000126432/ENSG00000107798/ENSG00000156515/ENSG00000109107/ENSG00000023697/ENSG00000112992/ENSG00000130313/ENSG00000160326/ENSG00000197444/ENSG00000004864/ENSG00000177542/ENSG00000100889/ENSG00000123836/ENSG00000103485/ENSG00000078237/ENSG00000141568/ENSG00000181019/ENSG00000141510/ENSG00000161513/ENSG00000115129/ENSG00000182054/ENSG00000169738"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",147,-0.457945208136476,-1.80084584633422,1.38632817059892e-05,0.026957151277296,0.0256908499404147,2497,"tags=34%, list=13%, signal=30%","ENSG00000144908/ENSG00000171174/ENSG00000181192/ENSG00000149925/ENSG00000074800/ENSG00000106733/ENSG00000067225/ENSG00000159322/ENSG00000108515/ENSG00000120053/ENSG00000170525/ENSG00000105953/ENSG00000111640/ENSG00000173599/ENSG00000112874/ENSG00000154803/ENSG00000067057/ENSG00000213465/ENSG00000160211/ENSG00000082212/ENSG00000175567/ENSG00000173614/ENSG00000111674/ENSG00000108262/ENSG00000142156/ENSG00000197713/ENSG00000114166/ENSG00000167965/ENSG00000126432/ENSG00000107798/ENSG00000156515/ENSG00000109107/ENSG00000023697/ENSG00000112992/ENSG00000130313/ENSG00000160326/ENSG00000197444/ENSG00000004864/ENSG00000177542/ENSG00000100889/ENSG00000123836/ENSG00000103485/ENSG00000078237/ENSG00000141568/ENSG00000181019/ENSG00000141510/ENSG00000161513/ENSG00000115129/ENSG00000182054/ENSG00000169738"
"GO:0044282","GO:0044282","small molecule catabolic process",281,-0.38721858888766,-1.66470466034552,6.00307363168064e-06,0.026957151277296,0.0256908499404147,3026,"tags=31%, list=16%, signal=27%","ENSG00000131069/ENSG00000167701/ENSG00000166796/ENSG00000196177/ENSG00000164751/ENSG00000159231/ENSG00000173208/ENSG00000161533/ENSG00000165475/ENSG00000006534/ENSG00000188266/ENSG00000113790/ENSG00000144908/ENSG00000132330/ENSG00000101986/ENSG00000171174/ENSG00000105221/ENSG00000196371/ENSG00000185950/ENSG00000074800/ENSG00000198805/ENSG00000132541/ENSG00000146151/ENSG00000118432/ENSG00000067225/ENSG00000095321/ENSG00000198814/ENSG00000136371/ENSG00000111012/ENSG00000108515/ENSG00000120053/ENSG00000105135/ENSG00000133835/ENSG00000149313/ENSG00000122971/ENSG00000139344/ENSG00000072506/ENSG00000093144/ENSG00000171503/ENSG00000140876/ENSG00000156017/ENSG00000242612/ENSG00000154930/ENSG00000124588/ENSG00000183032/ENSG00000067057/ENSG00000122691/ENSG00000129187/ENSG00000104823/ENSG00000025423/ENSG00000159423/ENSG00000083123/ENSG00000160200/ENSG00000111674/ENSG00000111275/ENSG00000119689/ENSG00000128311/ENSG00000179761/ENSG00000176974/ENSG00000100116/ENSG00000156515/ENSG00000023697/ENSG00000128039/ENSG00000117305/ENSG00000130766/ENSG00000114054/ENSG00000157184/ENSG00000112357/ENSG00000100889/ENSG00000007171/ENSG00000123836/ENSG00000112294/ENSG00000103485/ENSG00000115361/ENSG00000117054/ENSG00000244509/ENSG00000078237/ENSG00000130203/ENSG00000162174/ENSG00000141568/ENSG00000107537/ENSG00000141510/ENSG00000156521/ENSG00000149476/ENSG00000169738/ENSG00000198075/ENSG00000110090/ENSG00000102032"
"GO:0005975","GO:0005975","carbohydrate metabolic process",452,-0.34597411171598,-1.54217751120117,7.47572157822061e-06,0.026957151277296,0.0256908499404147,2678,"tags=28%, list=14%, signal=25%","ENSG00000086062/ENSG00000161179/ENSG00000067829/ENSG00000150768/ENSG00000214013/ENSG00000112309/ENSG00000157350/ENSG00000175040/ENSG00000177239/ENSG00000171174/ENSG00000105221/ENSG00000196371/ENSG00000185950/ENSG00000181192/ENSG00000149925/ENSG00000074800/ENSG00000123213/ENSG00000062485/ENSG00000166147/ENSG00000164414/ENSG00000027847/ENSG00000135454/ENSG00000062282/ENSG00000067225/ENSG00000198814/ENSG00000140557/ENSG00000159322/ENSG00000008405/ENSG00000108515/ENSG00000120053/ENSG00000169860/ENSG00000136840/ENSG00000170525/ENSG00000213639/ENSG00000105953/ENSG00000162600/ENSG00000148803/ENSG00000169856/ENSG00000111640/ENSG00000173599/ENSG00000106009/ENSG00000101150/ENSG00000178752/ENSG00000117411/ENSG00000154803/ENSG00000275052/ENSG00000197093/ENSG00000151348/ENSG00000141753/ENSG00000178567/ENSG00000067057/ENSG00000213465/ENSG00000179163/ENSG00000145335/ENSG00000122863/ENSG00000160211/ENSG00000175567/ENSG00000172456/ENSG00000049769/ENSG00000213614/ENSG00000168003/ENSG00000068001/ENSG00000128272/ENSG00000111674/ENSG00000108262/ENSG00000110080/ENSG00000111275/ENSG00000142156/ENSG00000146674/ENSG00000116678/ENSG00000149541/ENSG00000196182/ENSG00000159921/ENSG00000197713/ENSG00000114166/ENSG00000167965/ENSG00000126368/ENSG00000100504/ENSG00000107798/ENSG00000138798/ENSG00000169255/ENSG00000183778/ENSG00000116711/ENSG00000139515/ENSG00000156515/ENSG00000110958/ENSG00000109107/ENSG00000093010/ENSG00000163754/ENSG00000023697/ENSG00000113532/ENSG00000130313/ENSG00000123989/ENSG00000088298/ENSG00000154080/ENSG00000198951/ENSG00000160326/ENSG00000197444/ENSG00000004864/ENSG00000204386/ENSG00000130766/ENSG00000159346/ENSG00000235194/ENSG00000169105/ENSG00000147119/ENSG00000112425/ENSG00000100889/ENSG00000123836/ENSG00000110013/ENSG00000171163/ENSG00000105329/ENSG00000006282/ENSG00000117054/ENSG00000078237/ENSG00000185345/ENSG00000078549/ENSG00000141568/ENSG00000167470/ENSG00000196743/ENSG00000141510/ENSG00000149476/ENSG00000182054/ENSG00000169738/ENSG00000110090/ENSG00000102032/ENSG00000102393"
