"","log2FoldChange","padj"
"FADS2",-1.09273831047031,3.60151315414765e-66
"ANXA1",2.35524399690697,6.65638858258203e-113
"CGA",2.21429330717969,3.89316889309489e-38
"DRAM1",-1.12078628436786,2.70118899192618e-42
"LCP1",-7.26908464180457,0
"GALNT5",1.20319365182561,3.28866383117827e-07
"CCN3",1.98685349894043,2.47798620188089e-53
"IGFBPL1",3.04341340936729,1.57505613440513e-149
"IRF4",1.69086515732774,2.46298093382391e-38
"THBS1",1.2117715391082,2.67183904995163e-07
"PLCB2",1.90502605823776,4.07940024465539e-22
"SPTBN5",1.13832742910859,6.30794878362601e-07
"CYP2C8",1.10616078133176,3.59933163626046e-05
"C1RL",2.91502353560551,3.62486180836101e-39
"SLC38A4",2.12015053717811,1.99199800893134e-35
"COL2A1",-1.63277879811463,2.1581429655462e-183
"LGR5",1.47722499711625,6.8087739932158e-257
"CBLN3",-1.01618364984982,3.58290663738902e-07
"MCTP2",1.46128476304181,1.21997746390883e-56
"IRF8",-1.08555211181345,7.52618710049566e-35
"IGFBP4",1.45700624101886,4.79978669398101e-13
"VAV1",1.71838770621501,1.99679479681871e-94
"ADAMTS10",-1.09197120848878,1.96580824192948e-13
"CACNG8",1.69497398437593,1.13564740584588e-153
"DMRTA2",-2.10098786119498,1.35148064209251e-110
"NECTIN4",-1.27564977575855,1.28227627506093e-16
"FLG",1.74254950390423,1.48369474730251e-51
"GDF7",-1.189470469257,1.44747602697074e-34
"TMEFF2",1.9881703671507,7.77846816392382e-129
"GRIP2",-1.27446228655061,8.03447856757413e-36
"ITGA9",1.26904285760955,5.98993602081012e-19
"MYH15",1.61508416046043,1.61140080382602e-24
"CORIN",1.4109519834443,7.04260893948273e-09
"SFRP2",5.18602438485669,4.47945443350868e-40
"ADAMTS16",1.45084235136674,5.89906129126011e-14
"SHISAL2B",-1.1872171088502,4.43426664670168e-13
"LANCL3",1.15727973065345,3.6098463550944e-09
"IGSF1",-1.20010811257553,1.19438864660621e-06
"MAL2",1.4949259415028,2.86155127007072e-215
"ADAM12",5.65255241884315,1.30918220313271e-150
"ST14",1.99113743745112,2.21595587872645e-14
"CDH22",-1.09874047151659,3.86405565326259e-05
"MKX",3.0189858030899,5.03690349735069e-21
"HNMT",3.82874686281856,3.55786091152253e-98
"VEGFC",1.58594879254542,1.68416448684661e-25
"ENSG00000151303",1.7772845863638,2.54778903714021e-11
"PTPRO",-1.26977539497647,9.65866052567543e-14
"DPYSL4",-1.20753836322706,1.09181972539906e-51
"FLI1",-1.19695718208174,5.34425434921679e-23
"HSPB8",1.0460413921307,1.01187843675799e-16
"AK5",-1.02438290729187,1.78356213272187e-08
"JPH3",-1.23893487061295,5.75545063160132e-43
"ABCA10",1.3369347629311,7.01130569904782e-11
"JAM2",-1.04567276414868,2.4593610043686e-19
"PIEZO2",2.08814310852751,9.43259423412899e-83
"USP25",-1.08478186058778,3.66666129035942e-176
