"","log2FoldChange","padj"
"NPM2",1.21938545175072,1.09251071022591e-05
"CSRP1",6.89001329607968,2.2416872546455e-239
"ZNF208",3.05754888051418,2.48379561985602e-25
"LY6K",-1.63819124815579,6.92421031545515e-10
"RBP7",1.01144419340602,8.64201752472616e-16
"DRAXIN",-1.35014414058864,1.21908407261883e-09
"ALPL",2.08592045630331,4.56995099777114e-29
"DDR2",1.69063799889146,3.55536649511723e-29
"FRZB",-1.04137513279309,0.000407868577353129
"SPATA18",-1.09167728389666,2.75528408950237e-40
"LINC01116",1.08943705485693,1.81875724421618e-30
"IGFN1",1.49037962868757,7.73141024742771e-13
"CHCHD4",2.27135305293359,1.11293706551245e-10
"FABP5",1.66185586019988,9.74008488058932e-149
"TMEM184A",1.87558697072597,5.25624000139557e-10
"CYBB",1.67750601458861,1.22317813333181e-65
"PCDH19",2.99832204328894,1.29647448737031e-151
"GPR101",1.32102084406137,2.91115594048488e-17
"FAAH2",1.53410686939554,3.19743980591862e-46
"SLC18A2",1.41118302607386,7.94909105217627e-15
"TMEM100",1.75230855790446,1.82150705001894e-20
"GLYATL1",-1.07099012452903,0.000141036228910711
"ART5",-1.03723096340615,2.7747218595598e-09
"ZNF610",1.01586804292869,3.85280021172366e-15
"MTNR1A",-1.10669889352796,7.50962366384765e-13
"COL3A1",2.12775752590936,3.5743789473627e-22
"CXXC4",-1.12970806937371,5.65162557570437e-33
"INPP5D",-2.10812931522697,2.96172643620158e-46
"CPT1C",1.51646993521545,4.4594182604368e-21
"NPR1",2.77207162335453,1.50885150547639e-24
"RAC3",-2.15517349698649,0
"MYRIP",-1.67973070526397,1.6402885454033e-33
"ZNF562",1.14371547753174,1.23308264483245e-142
"ZNF561",1.13974552131588,4.07930829149832e-153
"ZNF738",8.49709721052268,2.13263384278526e-59
"TRAM1L1",-1.74238698851637,3.19054122831821e-15
"ZNF266",1.20532333220936,4.44354443363749e-227
"FOSL1",-1.31217915558334,3.16270473450607e-12
"KDF1",2.89552559410215,2.66897291445904e-34
"LRRN1",1.50793133235423,1.27397821741674e-41
"MIR7.3HG",1.03203747478339,2.32778605192584e-06
"NECTIN3",-1.54782033690192,9.88111354396494e-28
"CALHM5",1.50030565997058,2.56030859585423e-23
"MAF",1.44183359270163,7.47346345032699e-151
"RPP25",-1.05648380774039,7.9035668311146e-16
"C14orf39",1.7536430218532,6.39065427069428e-17
"EGR3",1.0641401160995,0.0120730121372708
"LYNX1",-1.23483331330715,0.000253484288824809
"H2BC4",-1.08324150915108,8.12478861071999e-05
"BHLHE22",-1.67361727995602,5.15340505041116e-08
"AATK",1.29081689399665,1.96495815216787e-47
"RNF135",-1.48943622678463,4.19305954930239e-61
"SLC9A9",-1.08367053077397,0.00021005904110138
"AP1S2",1.03286613960243,1.3530099596675e-69
"TSHZ2",1.12003979982993,1.30092225581596e-13
"CRIP2",-1.00851014810386,1.80632911930048e-16
"ZNF320",8.61192427016897,8.38783455549281e-107
"RP1L1",1.14552600909099,3.05710234721877e-07
"ZNF730",6.98336281688576,5.60793366514609e-29
"ALDH1A3",-1.08404190181135,1.78982997938846e-24
"ACTRT3",-1.12836212498978,1.48914673935536e-22
"H2BC21",-1.12196838723016,1.98030807623779e-34
"ATL3",1.02009066222943,1.42126039448443e-22
"PRKN",-2.11496757735345,8.67389205483934e-20
"GABRA5",-5.48909119906674,9.74308115003898e-82
"NAP1L3",-1.10131437158382,1.03507039206633e-21
"GLDN",1.00907860945361,3.10328647446973e-05
"NAP1L2",-1.66350222075999,8.42193195039725e-73
"MAGEH1",1.50805410597774,1.25256275306422e-14
"TRPV2",-1.02111922562103,7.42244720798858e-05
"NHS",1.1374636903588,6.50954290873763e-17
"ZNF563",-1.14277242828322,4.43907206927688e-05
"HACD4",-2.15177136737872,2.32813404469735e-59
"ZNF676",1.50377573118828,3.32499593931658e-10
"S100A4",-1.64691921758549,4.65082723189676e-12
"CPNE4",1.10873994862031,3.50470600886735e-05
"PIWIL2",1.09015140470339,2.53404623764277e-05
"RAMP2.AS1",1.12502336541884,4.08511470391391e-10
"DCHS2",-1.07023605782226,7.18625075688507e-14
"DPP4",-1.18553423146896,2.46070001767899e-15
"HRNR",1.12713261626579,3.15919497829964e-05
"ZNF677",1.1705092701872,2.17013560883878e-59
"ZNF121",1.3851703951655,2.01600485047043e-227
"SULT1C4",-2.09455889625681,6.9734019158467e-50
"UBL5",1.01057639974009,1.18910789940791e-110
"RYR2",1.24216712230444,5.19658950766036e-154
"MAGEE1",-1.49598478836678,5.9429837772867e-29
"LINC00632",-1.93956246095448,1.41866911476579e-126
"COL5A2",-1.01065239659383,2.69502715495765e-30
"TRIM15",1.01469659795232,3.61862780102676e-07
"ASPDH",1.58669306797427,1.00759252396634e-18
"MUC19",-2.94291944991686,2.19965049623418e-26
