"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARHGAP33",625.649749628621,-0.0110133823216755,0.0446759832546168,-0.246516842369381,0.805282168329295,0.896138406376576
"NDUFAB1",3119.92102582097,0.0533318482829018,0.0450832740097163,1.18296307121368,0.236823783314678,0.416286471684567
"PDK4",112.878800575947,0.245942506187888,0.12442212053002,1.97667830398815,0.0480780047390937,0.128784994126066
"ZMYND10",17.4014716510087,0.176952962262227,0.173990847216187,1.01702454521852,0.309141753023303,0.498137862264187
"ARX",19.4178668718943,-0.275142330386403,0.179303830768786,-1.53450335782954,0.124905867822394,0.26699141387938
"SLC25A13",2963.22561508734,-0.158175861444561,0.0223065974946985,-7.09099007511808,1.33155895513051e-12,2.89905543019082e-11
"ST7",1056.63697091465,-0.00935708495624708,0.0299654560128024,-0.312262391476685,0.754841119261896,0.863968716117213
"CDC27",5548.12211138307,-0.00554654073057179,0.0348766100255139,-0.159033252558498,0.873642675460742,0.935522398054007
"HCCS",536.945907792324,-0.113780568706075,0.0428894088869511,-2.65288265002627,0.00798076116981363,0.0310585717848307
"DVL2",1910.0836339441,-0.0848631993444915,0.0402725331116819,-2.10722278405366,0.0350982728681486,0.101311617635905
"UPF1",4652.5073124501,-0.225456044207655,0.0310057117107239,-7.27143586675604,3.55686236755936e-13,8.2173086824128e-12
"SKAP2",1912.01166066448,0.0209843496358445,0.0386399795683213,0.543073517902384,0.587079185147551,0.749282261154752
"SLC25A5",15381.7393233142,-0.0306061445115291,0.0329650797959061,-0.928441390132173,0.353178656862691,0.54367177319947
"MCUB",1274.10865606588,-0.178262344274983,0.0319150225805312,-5.58553088361987,2.32987377387673e-08,3.19289010723151e-07
"HOXA11",916.440619671046,0.255603188522649,0.03924309273808,6.51332937056261,7.35030918701665e-11,1.36049111671147e-09
"POLR2J",1835.77215441951,-0.00212738967784133,0.0414098628063394,-0.0513739851733016,0.959027514215985,0.979707697354706
"DHX33",4528.62987361818,0.0134958005975503,0.0376951208773199,0.358025131195967,0.720324506492926,0.843271746802045
"MEOX1",21.50380757374,-0.702063252898896,0.26123563837319,-2.68747119371194,0.00719953118977693,0.0284935582040637
"LIG3",2782.40318080253,-0.0707159299620292,0.0263140156916115,-2.68738647839951,0.00720135762873106,0.02849408389274
"RPAP3",3283.02462362373,-0.0141504764193427,0.0517577429404175,-0.273398251458385,0.784547096740573,0.883585854129807
"ACSM3",95.3157824822946,0.42452200500682,0.0945060311775097,4.49200966030882,7.05542224412565e-06,6.33713733695278e-05
"REXO5",556.979614189132,0.0191920403752067,0.039473991364827,0.486194572974133,0.626829218791767,0.778050481230004
"CIAPIN1",2547.8257501557,-0.529225809970697,0.0354447828161298,-14.93099316523,2.07157527040668e-50,3.03477747753066e-48
"SPPL2B",942.096293364788,0.0090080544900171,0.0434952213902308,0.207104463481139,0.835928276316695,0.913459729723193
"ATOSB",48.8926250347686,0.491519170475331,0.10973122680127,4.4793007861427,7.48879446629648e-06,6.67877479113123e-05
"COPZ2",9.98844426214771,0.00770113976896426,0.248887639935049,0.0309422347006625,0.975315607614701,0.988073032738428
"PRKAR2B",2245.99026625645,-0.0195922223379577,0.0310810247059258,-0.630359601182076,0.528459336074557,0.702357727908923
"MSL3",1327.76557268042,-0.0334940733977258,0.0300999317136278,-1.11276243801448,0.265810471533065,0.449913684821484
"CREBBP",5297.80925443705,0.191692353537131,0.0590858967643741,3.2442996389066,0.0011773981797686,0.00611949141949039
"GCFC2",1163.84102048167,-0.0264311617569669,0.0288193868248712,-0.917131301841466,0.359073840190618,0.549551040705156
"WDR54",563.654112858422,-0.0478206206734813,0.0595279106288561,-0.803331078956101,0.421783399129903,0.609795717054942
"CROT",340.865675603241,0.0882226601956675,0.0521891225726773,1.69044152970403,0.0909435155195776,0.210412653806192
"ABCB4",72.0421604369882,0.163423770557456,0.111004647745961,1.4722245768615,0.140960242752473,0.290726825082043
"KMT2E",1911.91345574198,0.163100114791276,0.0465267613013312,3.50551188669584,0.000455730151039772,0.00266968022143509
"RHBDD2",1172.66590093362,0.0697274257165873,0.0572088508893386,1.21882234361714,0.22291162907047,0.39865467646198
"SOX8",144.534147135167,0.0237662602084141,0.0707317048416218,0.336005759533579,0.736866523251981,0.852430433179232
"IBTK",3406.505341599,-0.0445667178259912,0.043558780205295,-1.02313971180887,0.306241793011752,0.495111421365051
"ZNF195",1072.4723339255,0.109272612330013,0.047789009491113,2.28656365749396,0.0222213045413853,0.0705897147794753
"MYCBP2",3638.53407343748,-0.301203318717368,0.0561305474211841,-5.36612116851887,8.04479080060634e-08,1.02171005745873e-06
"FBXL3",1603.77099147307,-0.204420124848903,0.0407276822828733,-5.01919366363907,5.18888187933625e-07,5.76142713018193e-06
"PDK2",470.871109988931,-0.0229232642488796,0.0605197508259889,-0.378773275435161,0.704856234360674,0.833043972291933
"ITGA3",206.288656360438,-0.190575075904154,0.0741786880827016,-2.56913516307653,0.0101952683140604,0.0379272009053375
