"","ID","log2FoldChange","AveExpr","t","P.Value","padj","B"
"UQCRQ","UQCRQ",-0.189460048496716,6.70026125023805,-3.45634975814665,0.00110521441270231,0.626620155523264,-1.25799420604718
"ATOSA","ATOSA",0.312531844110872,4.18742552663443,3.29612091661221,0.00177885417670594,0.729791947413616,-1.30336032908256
"ANGPT2","ANGPT2",1.37536488127207,0.242114269876423,3.91605589774641,0.000265682824992648,0.453932338956463,-1.45269161096279
"S1PR1","S1PR1",0.44344920144774,2.79125741755666,3.20963647061402,0.00228858619131441,0.729791947413616,-1.48636722951022
"ZBED3","ZBED3",-0.216175398935082,5.72099022477178,-3.28657336252994,0.00182934569347097,0.729791947413616,-1.57724172547089
"ICA1","ICA1",0.742080468383981,1.47988091081141,3.31361820732096,0.0016897246881285,0.70960927013894,-1.58043409552624
"CEBPB","CEBPB",-0.353562808249424,4.41157705803808,-3.20334585421892,0.00233059266727912,0.729791947413616,-1.58585223851918
"PSMA6","PSMA6",-0.334602639715457,4.09293105029924,-3.18044473316972,0.00248973555605966,0.729791947413616,-1.58636743370947
"RAB11FIP4","RAB11FIP4",-0.255441625928969,4.78541863151768,-3.22333716229665,0.00219955503232432,0.729791947413616,-1.58732934822738
"SLC9A3-AS1","SLC9A3-AS1",0.356855257691215,4.22755054278519,3.19747845976703,0.00237042699996815,0.729791947413616,-1.59292165266558
"ZNF799","ZNF799",0.536340652944502,2.6708097196074,3.17948478606299,0.00249662481083853,0.729791947413616,-1.60370958334748
"RUSC1-AS1","RUSC1-AS1",0.476616125882133,2.94151914112269,3.13926416109391,0.00280194120287436,0.772610857454487,-1.65255001959391
"MAML3","MAML3",-0.453921293534319,2.87122287716807,-3.12534928438655,0.00291550320852338,0.772610857454487,-1.68332126229021
"SND1","SND1",-0.128356160305025,8.0893820034647,-3.38264262897637,0.00137769558314317,0.65089227825599,-1.68333847646792
"ID1","ID1",-0.544182547539294,3.42564265656938,-3.12933234858258,0.0028825625924895,0.772610857454487,-1.71464157431237
"ATP5F1D","ATP5F1D",-0.208280477446945,6.08829610364633,-3.2406594209249,0.00209166206704016,0.729791947413616,-1.74360816556133
