"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UPF1",4652.5073124501,-0.0306565753425432,0.0442877447337572,-0.692213512492905,0.488803254155854,0.832699739870412
"SKAP2",1912.01166066448,-0.00291043312168432,0.051985108722735,-0.0559859004471309,0.955353039356896,0.989470353811467
"SLC25A5",15381.7393233142,0.0173569755291862,0.0464987805862334,0.373278079776676,0.70894148918065,0.927501723190524
"MCUB",1274.10865606588,-0.0141038422305902,0.0597269023273346,-0.236138853364498,0.813324925672327,0.957812210348721
"HOXA11",916.440619671046,-0.0606301596221623,0.0683974713507606,-0.886438612784887,0.375381219851898,0.768217401550485
"POLR2J",1835.77215441951,0.00230461843686033,0.0773728924859104,0.029785863793059,0.976237832824556,0.994829572297181
"DHX33",4528.62987361818,-0.0471267113325165,0.0514236782489076,-0.916439915176967,0.359436208077475,0.754295868788925
"MEOX1",21.50380757374,-0.648930260974208,0.289052949125924,-2.24502210732161,0.0247667133827935,NA
"LIG3",2782.40318080253,-0.0942191673367977,0.0466668688444582,-2.01897341025455,0.0434899832347027,0.330018251614751
"RPAP3",3283.02462362373,-0.0602061591306875,0.0494018748382331,-1.2187019081327,0.222957353480822,0.646779451626557
"ACSM3",95.3157824822946,0.0785537748143293,0.158154303260263,0.49669072035972,0.619407167285251,0.892836042854489
"REXO5",556.979614189132,0.054018487523919,0.0767017623862063,0.704266575413571,0.481266777560398,0.829454057496743
"CIAPIN1",2547.8257501557,-0.0223639552442875,0.0515291586068602,-0.43400582988192,0.664284207565105,0.912636071209966
"SPPL2B",942.096293364788,0.100495536777663,0.0663503469319045,1.51461961277764,0.129868762463094,0.532878644801137
"ATOSB",48.8926250347686,-0.264739776965799,0.229295768370198,-1.15457768299665,0.248263409971432,0.671740220731352
"COPZ2",9.98844426214771,-0.0271347148769667,0.42423745667275,-0.0639611482912928,0.94900116260503,NA
"PRKAR2B",2245.99026625645,-0.0631998015684381,0.0500189873882036,-1.26351621391166,0.206403723398785,0.628002600294959
"MSL3",1327.76557268042,-0.0477394069698597,0.04965577515278,-0.961406942555542,0.336347594888842,0.738567430370759
"CREBBP",5297.80925443705,-0.0356507898297665,0.0935291924004381,-0.381172860737751,0.703074985709714,0.92581769511614
"GCFC2",1163.84102048167,-0.0579620248161446,0.0565565880600482,-1.02485009800457,0.305433923669689,0.71703048844652
"WDR54",563.654112858422,0.106336399788382,0.095119867449832,1.11791997444136,0.263601173255925,0.685779239432044
"CROT",340.865675603241,-0.0037816230679781,0.091516639249588,-0.0413216995181029,0.967039434128683,0.99294797742819
"ABCB4",72.0421604369882,-0.298025259744813,0.177211619403365,-1.68174784897402,0.0926177452701868,0.460106174773203
"KMT2E",1911.91345574198,-0.0498841935462708,0.079649239594157,-0.626298427963024,0.531119217269536,0.852268811100845
"RHBDD2",1172.66590093362,-0.117833147210725,0.0563640212598426,-2.090573819556,0.0365662846534455,0.306213655460395
"SOX8",144.534147135167,-0.136245021884829,0.138479009988991,-0.983867677098938,0.325180578170589,0.732098053726396
