"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLHL13",566.117017976683,0.119858618347258,0.0437842327616624,2.73748358226814,0.00619112102416313,0.0152224570797079
"CYP26B1",82.5725596670903,0.699068582844706,0.125452121478567,5.57239347254992,2.51263133864427e-08,1.47960688531706e-07
"ICA1",90.4626474217391,-0.775900221908416,0.107731296261905,-7.20218032114021,5.92572529133851e-13,5.41510428219126e-12
"DBNDD1",1167.23470282679,-0.860441574824519,0.0703493171534939,-12.2309868757807,2.12343011579439e-34,5.76560090923597e-33
"ALS2",1177.80648601533,0.175832149972866,0.0457229846704903,3.84559650337848,0.000120259521397159,0.000428885532244482
"CASP10",98.3268475332564,0.634527468258276,0.13628069063541,4.65603355324799,3.22359421442143e-06,1.4811447474869e-05
"CFLAR",705.244214541615,-0.164661574706698,0.0571724411105699,-2.88008648062179,0.00397566102638032,0.0103217532733254
"TFPI",363.165272353231,0.215188511526425,0.0804278864577752,2.67554602021525,0.00746076295117067,0.0179678218747577
"NDUFAF7",554.054340032279,0.064812891161825,0.0408299862008738,1.58738459628571,0.112425565852822,0.187306562945131
"RBM5",2076.62832496688,0.141564808539152,0.0240131055357066,5.89531447020256,3.73968482652019e-09,2.4202932825883e-08
"MTMR7",527.793928731348,0.648296111116533,0.05644975167375,11.4844811871511,1.57880373441354e-30,3.61651308762995e-29
"SLC7A2",3507.11253181747,0.6307010593629,0.0351651866194684,17.9353821206149,6.24330143237544e-72,5.86994579447916e-70
"ARF5",3059.59336281985,0.0285312449022505,0.0364782379486282,0.782144273043854,0.434129790351119,0.547822167338105
"SARM1",758.021935079931,-0.143357236880733,0.0538522991073909,-2.66204487564874,0.00776675230775219,0.0186335007124414
"POLDIP2",6631.35739344108,-0.120947232264702,0.0281725180807588,-4.2930927195786,1.76201379858284e-05,7.22065620911546e-05
"PLXND1",721.519328090904,-0.514533455176976,0.0586999035861663,-8.76549063529015,1.85964990175792e-18,2.45074364319534e-17
"AK2",9305.0723959398,-0.0606354475193477,0.0271142436613732,-2.23629499965469,0.0253324537817316,0.0528111099357048
"FKBP4",13296.1268615153,0.0295901419698177,0.0241679904039428,1.2243526033919,0.220819240883248,0.323065883271008
